date;time;ID;X;Y;
14/09/2021;06:57;2007-24639;167.973999;-23.20100021;
14/09/2021;16:32;2007-24639;168.0859985;-23.44300079;
14/09/2021;16:47;2007-24639;168.1360016;-23.46299934;
15/09/2021;03:45;2007-24639;168.1100006;-23.45199966;
18/09/2021;04:43;2007-24639;168.1109924;-23.46299934;
18/09/2021;07:05;2007-24639;168.0639954;-23.43499947;
18/09/2021;16:34;2007-24639;168.0939941;-23.51000023;
19/09/2021;03:07;2007-24639;168.0879974;-23.44099998;
19/09/2021;06:39;2007-24639;168.1119995;-23.43600082;
19/09/2021;17:52;2007-24639;168.1940002;-23.54100037;
20/09/2021;06:04;2007-24639;168.1710053;-23.77400017;
20/09/2021;06:18;2007-24639;167.4320068;-23.88999939;
20/09/2021;15:37;2007-24639;168.0859985;-23.42700005;
20/09/2021;17:28;2007-24639;168.0839996;-23.46199989;
21/09/2021;15:43;2007-24639;168.0720062;-23.37299919;
21/09/2021;16:59;2007-24639;167.8390045;-23.125;
21/09/2021;17:01;2007-24639;168.0769959;-23.32699966;
21/09/2021;18:43;2007-24639;168.0540009;-23.29100037;
24/09/2021;06:23;2007-24639;165.8630066;-24.25099945;
25/09/2021;05:55;2007-24639;170.0279999;-24.02499962;
25/09/2021;16:20;2007-24639;170.6060028;-24.38100052;
25/09/2021;17:09;2007-24639;170.6809998;-24.42300034;
26/09/2021;16:04;2007-24639;-177.2680054;-27.13999939;
26/09/2021;16:43;2007-24639;171.8580017;-24.7140007;
27/09/2021;04:40;2007-24639;172.4929962;-24.56599998;
27/09/2021;06:15;2007-24639;172.529007;-24.57299995;
27/09/2021;06:50;2007-24639;172.5209961;-24.58799934;
27/09/2021;15:51;2007-24639;173.0119934;-24.47699928;
27/09/2021;16:20;2007-24639;173.0310059;-24.46699905;
27/09/2021;20:42;2007-24639;173.279007;-24.50799942;
28/09/2021;04:49;2007-24639;173.848999;-24.68300056;
28/09/2021;15:37;2007-24639;-168.2769928;-28.59900093;
28/09/2021;15:54;2007-24639;174.2969971;-24.87400055;
28/09/2021;17:33;2007-24639;174.5;-24.94499969;
29/09/2021;04:14;2007-24639;174.9730072;-25.13400078;
29/09/2021;15:26;2007-24639;175.5319977;-25.00699997;
29/09/2021;17:11;2007-24639;175.6790009;-24.98399925;
30/09/2021;04:00;2007-24639;176.25;-25.22200012;
30/09/2021;05:42;2007-24639;177.0449982;-24.72100067;
30/09/2021;16:56;2007-24639;176.9100037;-25.12199974;
01/10/2021;16:24;2007-24639;178.0729981;-25.44499969;
03/10/2021;03:24;2007-24639;-179.9320068;-26.6439991;
03/10/2021;04:25;2007-24639;-179.8379974;-26.66399956;
04/10/2021;04:50;2007-24639;-179.2749939;-27.90200043;
04/10/2021;08:46;2007-24639;-179.048996;-28.04000092;
04/10/2021;16:11;2007-24639;-178.826004;-28.24500084;
04/10/2021;16:52;2007-24639;179.0070038;-27.81999969;
05/10/2021;04:44;2007-24639;-178.1790009;-28.80999947;
05/10/2021;05:20;2007-24639;-178.4720001;-28.96199989;
05/10/2021;16:04;2007-24639;-177.8009949;-29.25200081;
06/10/2021;04:51;2007-24639;-177.996994;-29.34900093;
06/10/2021;20:44;2007-24639;-177.977005;-29.27599907;
07/10/2021;06:08;2007-24639;-177.9420013;-29.34600067;
08/10/2021;04:03;2007-24639;-178.0700073;-29.39599991;
08/10/2021;04:04;2007-24639;-178.0440064;-29.37800026;
08/10/2021;05:40;2007-24639;-178.1239929;-29.45999908;
08/10/2021;15:23;2007-24639;-177.9900055;-29.52599907;
08/10/2021;17:00;2007-24639;-178.0429993;-29.54899979;
08/10/2021;20:17;2007-24639;-178.0249939;-29.56999969;
09/10/2021;16:37;2007-24639;-178.154007;-29.57600021;
09/10/2021;19:57;2007-24639;-178.1499939;-29.69499969;
10/10/2021;16:59;2007-24639;158.785994;-46.366811;out of domain 
