DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;;;;;;;;;;
01/04/2024;0;0;current;;;;0;07/10/2024;JLF;;01/01/2034;0;0;compute_energy;;;;52;03/04/2025
01/04/2024;0;0;compute_energy;;;;13;03/04/2025;JLF;;01/04/2034;0;0;compute_energy;;;;53;03/04/2025
01/05/2024;0;0;current;;;;0;07/10/2024;JLF;;01/07/2034;0;0;compute_energy;;;;54;03/04/2025
01/06/2024;0;0;current;;;;0;07/10/2024;JLF;;01/10/2034;0;0;compute_energy;;;;55;03/04/2025
01/07/2024;0;0;current;;;;0;07/10/2024;JLF;;01/01/2035;0;0;compute_energy;;;;56;03/04/2025
01/07/2024;0;0;compute_energy;;;;14;03/04/2025;JLF;;01/04/2035;0;0;compute_energy;;;;57;03/04/2025
01/08/2024;0;0;current;;;;0;07/10/2024;JLF;;01/07/2035;0;0;compute_energy;;;;58;03/04/2025
01/09/2024;0;0;current;;;;0;07/10/2024;JLF;;01/10/2035;0;0;compute_energy;;;;59;03/04/2025
01/10/2024;0;0;current;;;;0;07/10/2024;JLF;;01/01/2036;0;0;compute_energy;;;;60;03/04/2025
01/10/2024;0;0;compute_energy;;;;15;03/04/2025;JLF;;01/04/2036;0;0;compute_energy;;;;61;03/04/2025
01/11/2024;0;0;current;;;;0;07/10/2024;JLF;;01/07/2036;0;0;compute_energy;;;;62;03/04/2025
01/12/2024;0;0;current;;;;0;07/10/2024;JLF;;01/10/2036;0;0;compute_energy;;;;63;03/04/2025
01/01/2025;0;0;current;;;;0;07/10/2024;JLF;;01/01/2037;0;0;compute_energy;;;;64;03/04/2025
01/01/2025;0;0;compute_energy;;;;16;03/04/2025;JLF;;01/04/2037;0;0;compute_energy;;;;65;03/04/2025
01/02/2025;0;0;current;;;;0;07/10/2024;JLF;;01/07/2037;0;0;compute_energy;;;;66;03/04/2025
01/03/2025;0;0;current;;;;0;07/10/2024;JLF;;01/10/2037;0;0;compute_energy;;;;67;03/04/2025
01/04/2025;0;0;current;;;;0;07/10/2024;JLF;;01/01/2038;0;0;compute_energy;;;;68;03/04/2025
01/04/2025;0;0;compute_energy;;;;17;03/04/2025;JLF;;01/04/2038;0;0;compute_energy;;;;69;03/04/2025
01/05/2025;0;0;current;;;;0;07/10/2024;JLF;;01/07/2038;0;0;compute_energy;;;;70;03/04/2025
01/06/2025;0;0;current;;;;0;07/10/2024;JLF;;01/10/2038;0;0;compute_energy;;;;71;03/04/2025
01/07/2025;0;0;current;;;;0;07/10/2024;JLF;;01/01/2039;0;0;compute_energy;;;;72;03/04/2025
01/07/2025;0;0;compute_energy;;;;18;03/04/2025;JLF;;01/04/2039;0;0;compute_energy;;;;73;03/04/2025
01/08/2025;0;0;current;;;;0;07/10/2024;JLF;;01/07/2039;0;0;compute_energy;;;;74;03/04/2025
01/09/2025;0;0;current;;;;0;07/10/2024;JLF;;01/10/2039;0;0;compute_energy;;;;75;03/04/2025
01/10/2025;0;0;current;;;;0;07/10/2024;JLF;;01/01/2040;0;0;compute_energy;;;;76;03/04/2025
01/10/2025;0;0;compute_energy;;;;19;03/04/2025;JLF;;01/04/2040;0;0;compute_energy;;;;77;03/04/2025
01/11/2025;0;0;current;;;;0;07/10/2024;JLF;;01/07/2040;0;0;compute_energy;;;;78;03/04/2025
01/12/2025;0;0;current;;;;0;07/10/2024;JLF;;01/10/2040;0;0;compute_energy;;;;79;03/04/2025
01/01/2026;0;0;current;;;;0;07/10/2024;JLF;;01/01/2041;0;0;compute_energy;;;;80;03/04/2025
01/01/2026;0;0;compute_energy;;;;20;03/04/2025;JLF;;01/04/2041;0;0;compute_energy;;;;81;03/04/2025
01/02/2026;0;0;current;;;;0;07/10/2024;JLF;;01/07/2041;0;0;compute_energy;;;;82;03/04/2025
01/03/2026;0;0;current;;;;0;07/10/2024;JLF;;01/10/2041;0;0;compute_energy;;;;83;03/04/2025
01/04/2026;0;0;current;;;;0;07/10/2024;JLF;;01/01/2042;0;0;compute_energy;;;;84;03/04/2025
01/04/2026;0;0;compute_energy;;;;21;03/04/2025;JLF;;01/04/2042;0;0;compute_energy;;;;85;03/04/2025
01/05/2026;0;0;current;;;;0;07/10/2024;JLF;;01/07/2042;0;0;compute_energy;;;;86;03/04/2025
01/06/2026;0;0;current;;;;0;07/10/2024;JLF;;01/10/2042;0;0;compute_energy;;;;87;03/04/2025
01/07/2026;0;0;current;;;;1;07/10/2024;JLF;;01/01/2043;0;0;compute_energy;;;;88;03/04/2025
