date;time;ID;X;Y
29/10/2021;03:45;2012-87761;159.733;-34.223
29/10/2021;07:39;2012-87761;159.548;-34.361
29/10/2021;14:20;2012-87761;159.403;-34.702
29/10/2021;15:08;2012-87761;159.382;-34.734
29/10/2021;20:37;2012-87761;159.224;-34.862
29/10/2021;21:27;2012-87761;159.311;-34.934
30/10/2021;08:55;2012-87761;159.139;-35.37
30/10/2021;09:42;2012-87761;159.207;-35.328
30/10/2021;14:09;2012-87761;159.592;-35.26
30/10/2021;15:01;2012-87761;159.542;-35.235
30/10/2021;15:49;2012-87761;159.556;-35.22
30/10/2021;19:30;2012-87761;159.653;-35.194
30/10/2021;20:07;2012-87761;159.582;-35.291
30/10/2021;20:20;2012-87761;159.53;-35.466
30/10/2021;21:05;2012-87761;159.609;-35.515
30/10/2021;21:51;2012-87761;159.656;-35.572
30/10/2021;22:00;2012-87761;159.643;-35.55
31/10/2021;02:39;2012-87761;159.997;-35.723
31/10/2021;07:51;2012-87761;160.008;-35.887
31/10/2021;08:33;2012-87761;159.892;-35.988
31/10/2021;08:42;2012-87761;159.79;-36.021
31/10/2021;14:43;2012-87761;159.651;-36.39
31/10/2021;15:49;2012-87761;159.449;-36.207
31/10/2021;20:41;2012-87761;159.149;-36.21
31/10/2021;21:27;2012-87761;159.469;-36.172
31/10/2021;21:46;2012-87761;159.507;-36.191
01/11/2021;02:23;2012-87761;159.475;-36.249
01/11/2021;04:03;2012-87761;159.478;-36.335
01/11/2021;07:24;2012-87761;159.48;-36.378
01/11/2021;08:04;2012-87761;159.412;-36.385
01/11/2021;09:45;2012-87761;159.361;-36.411
01/11/2021;13:52;2012-87761;159.251;-36.451
01/11/2021;15:27;2012-87761;159.278;-36.487
01/11/2021;19:27;2012-87761;159.411;-36.597
01/11/2021;19:56;2012-87761;159.269;-36.517
01/11/2021;21:07;2012-87761;159.36;-36.628
01/11/2021;21:57;2012-87761;159.355;-36.591
02/11/2021;03:59;2012-87761;159.386;-36.707
02/11/2021;07:44;2012-87761;159.364;-36.776
02/11/2021;09:18;2012-87761;159.309;-36.824
02/11/2021;21:26;2012-87761;159.32;-37.041
02/11/2021;21:45;2012-87761;159.21;-37.157
03/11/2021;08:17;2012-87761;159.189;-37.097
03/11/2021;08:57;2012-87761;159.095;-37.169
03/11/2021;09:47;2012-87761;159.096;-37.107
03/11/2021;13:31;2012-87761;158.904;-37.093
03/11/2021;14:12;2012-87761;158.779;-37.076
03/11/2021;15:03;2012-87761;158.734;-37.085
03/11/2021;15:52;2012-87761;158.555;-37.15
03/11/2021;21:08;2012-87761;157.962;-37.29
03/11/2021;21:20;2012-87761;157.948;-37.291
04/11/2021;08:34;2012-87761;156.558;-37.784
04/11/2021;09:43;2012-87761;158.145;-37.543
04/11/2021;15:42;2012-87761;157.897;-37.836
04/11/2021;19:54;2012-87761;157.822;-37.878
04/11/2021;20:55;2012-87761;157.882;-37.981
04/11/2021;21:31;2012-87761;157.875;-38.01
05/11/2021;03:24;2012-87761;157.906;-38.241
05/11/2021;08:14;2012-87761;157.885;-38.437
05/11/2021;14:52;2012-87761;157.945;-38.604
05/11/2021;19:31;2012-87761;157.677;-38.665
05/11/2021;20:42;2012-87761;157.634;-38.702
05/11/2021;20:48;2012-87761;157.614;-38.719
05/11/2021;21:10;2012-87761;157.64;-38.708
06/11/2021;07:09;2012-87761;157.479;-39.033
06/11/2021;07:45;2012-87761;157.564;-38.814
06/11/2021;14:36;2012-87761;157.555;-38.832
06/11/2021;15:20;2012-87761;157.55;-38.831
06/11/2021;20:36;2012-87761;157.434;-38.894
06/11/2021;20:43;2012-87761;157.421;-38.981
06/11/2021;22:02;2012-87761;157.395;-39.002
07/11/2021;03:44;2012-87761;157.397;-39.163
07/11/2021;08:17;2012-87761;157.438;-39.341
07/11/2021;09:08;2012-87761;157.466;-39.503
07/11/2021;14:26;2012-87761;157.339;-39.677
07/11/2021;20:20;2012-87761;157.339;-40.087
07/11/2021;20:22;2012-87761;157.593;-39.993
07/11/2021;22:00;2012-87761;157.595;-40.108
08/11/2021;02:54;2012-87761;157.618;-40.492
08/11/2021;07:53;2012-87761;157.644;-40.679
08/11/2021;08:41;2012-87761;157.65;-40.737
08/11/2021;13:18;2012-87761;157.705;-41.026
08/11/2021;14:21;2012-87761;157.665;-40.834
08/11/2021;15:06;2012-87761;157.71;-40.858
08/11/2021;21:25;2012-87761;157.831;-41.048
09/11/2021;08:17;2012-87761;158.009;-41.338
09/11/2021;09:56;2012-87761;158.03;-41.363
09/11/2021;14:05;2012-87761;158.167;-41.568
09/11/2021;21:04;2012-87761;158.343;-41.806
10/11/2021;07:05;2012-87761;158.566;-42.29
10/11/2021;10:00;2012-87761;158.7;-42.399
10/11/2021;13:53;2012-87761;158.978;-42.521
10/11/2021;14:36;2012-87761;159.014;-42.549
10/11/2021;15:40;2012-87761;159.067;-42.591
10/11/2021;19:13;2012-87761;159.276;-42.675
11/11/2021;02:15;2012-87761;159.169;-42.62
11/11/2021;03:54;2012-87761;159.62;-42.84
